day,temp.high,temp.avg,temp.low,dp.high,dp.avg,dp.low,hum.high,hum.avg,hum.low,slp.high,slp.avg,slp.low,vis.high,vis.avg,vis.low,wind.high,wind.avg,wind.high.1,Prec.sum
1,0.0458765796495862,0.0154028544134087,-0.0941103370277262,0.142036960595412,0.159983738310963,0.123718013693074,0.149918022068513,0.151005903801671,0.146025025625876,0.58127051974975,0.551590929393372,0.512076874798536,NA,-0.0405790926890442,-0.13237200713243,-0.282910708925308,-0.205342547034132,-0.199103920172869,-0.111376032401404
0.0458765796495862,1,0.901094929648315,0.689560099493872,0.465166344660104,0.488990674605553,0.416771508359934,-0.0594488507173744,-0.106948544704867,-0.11973770241329,-0.0440889494514629,0.0607322524951303,0.0933212777051171,NA,-0.00834010230079882,-0.146733830146125,0.115897177171495,-0.115070859995988,0.232595187752288,-0.196556781023114
0.0154028544134087,0.901094929648315,1,0.900544008196678,0.60270723514068,0.660017251311876,0.621600044177672,0.00483066799025154,0.0822967852075383,0.173351555870505,-0.154194433836592,-0.0733450205721033,-0.0454368060138464,NA,-0.00708371704506575,-0.0641110786904627,0.100055136408133,0.0523742633284056,0.208003383409845,-0.180687988310163
-0.0941103370277262,0.689560099493872,0.900544008196678,1,0.720189103113347,0.786229842374563,0.762471374702783,0.204056853560867,0.347142463754384,0.450229309084756,-0.323011523820161,-0.290692492720872,-0.285016851234185,NA,-0.151665365830027,-0.141706096181493,0.212382360372153,0.267163912085446,0.278474439695422,0.0431410214718136
0.142036960595412,0.465166344660104,0.60270723514068,0.720189103113347,1,0.944294990347207,0.754581700123912,0.748921063225203,0.779852823437329,0.633587794103415,-0.0712731505201353,-0.122876303221979,-0.190617266723634,NA,-0.504319238840703,-0.571331513164117,0.307940030882601,0.279188437333591,0.39426680867459,0.416656751380219
0.159983738310963,0.488990674605553,0.660017251311876,0.786229842374563,0.944294990347207,1,0.883200289985688,0.658847346093748,0.768234731125557,0.729839616966271,-0.049160607553299,-0.0708265999736713,-0.117541479987381,NA,-0.410754903228545,-0.426073044906922,0.252782614756466,0.232377060583126,0.367727544008999,0.332383860249794
0.123718013693074,0.416771508359934,0.621600044177672,0.762471374702783,0.754581700123912,0.883200289985688,1,0.480293318168307,0.668846184394085,0.751498039506001,0.0263046921271406,0.00594473071322851,-0.00946163229073376,NA,-0.336468103260746,-0.248190194763453,0.137187484459749,0.102691618660483,0.259643817120956,0.252176217621596
0.149918022068513,-0.0594488507173744,0.00483066799025154,0.204056853560867,0.748921063225203,0.658847346093748,0.480293318168307,1,0.913412981453998,0.577712593369802,-0.0708421169220557,-0.169099729334758,-0.256482006818719,NA,-0.660993810516536,-0.717204207984375,0.430447263899858,0.325385562666869,0.439074246849214,0.648522797843166
0.151005903801671,-0.106948544704867,0.0822967852075383,0.347142463754384,0.779852823437329,0.768234731125557,0.668846184394085,0.913412981453998,1,0.859132154106936,-0.02626535506205,-0.140690485885348,-0.219215572207195,NA,-0.633066566842359,-0.58622073504381,0.310360261075169,0.334060955988464,0.356793404715872,0.653383267666988
0.146025025625876,-0.11973770241329,0.173351555870505,0.450229309084756,0.633587794103415,0.729839616966271,0.751498039506001,0.577712593369802,0.859132154106936,1,0.0451964585086889,-0.0579654531176958,-0.105935469328772,NA,-0.430350457320581,-0.27267311148866,0.0767438690420095,0.252553751697259,0.169904922669049,0.483583534305226
